id,nome,logo,local,categoria,taxa,minimo
009ed679-5dee-42f8-830b-28926b4a646c,Hamburgueria Belgo Burger!,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/009ed679-5dee-42f8-830b-28926b4a646c/201904302206_ALjt_4.jpg,natal-rn,Lanches,15.99,28.0
b7037cbe-a506-43f1-b9d7-5eab691593e0,Croc's,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/b7037cbe-a506-43f1-b9d7-5eab691593e0/202104262036_093D_i.jpg,natal-rn,Brasileira,5.0,3.0
ef802ca8-0fc6-4287-b232-c85fd42b362e,Doggy,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201705260911_ef802ca8-0fc6-4287-b232-c85fd42b362e.png,natal-rn,Lanches,10.0,20.0
6e9b24a8-d4a5-4013-8001-d4365891cd57,Rapa Coco Comedoria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/6e9b24a8-d4a5-4013-8001-d4365891cd57/202011062123_FD0b_.jpeg,natal-rn,Doces & Bolos,8.49,15.0
f633e3de-9256-479e-a1c3-783d8f2328b5,@Snack_doces_e_salgados,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/f633e3de-9256-479e-a1c3-783d8f2328b5/201910080951_22F8_i.png,parnamirim-rn,Doces & Bolos,10.0,0.0
530fa2dd-098b-4e04-8f3b-dd0d02de97ad,Dunnas Restaurante,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/530fa2dd-098b-4e04-8f3b-dd0d02de97ad/202004012143_h0UL_i.jpg,natal-rn,Brasileira,9.99,20.0
93f784b1-8803-4531-81cc-865e2b1cd819,Delicias Moura,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/93f784b1-8803-4531-81cc-865e2b1cd819/202011202316_IOU8_.jpeg,natal-rn,Doces & Bolos,12.49,10.0
e205e42d-92b7-4636-984a-1a725649e0c4,Daluh Restaurante,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/e205e42d-92b7-4636-984a-1a725649e0c4/202008151157_ZzuV_i.png,parnamirim-rn,Brasileira,12.0,33.0
7848e000-a024-47d4-8175-9a40fd423264,Lima Restaurante,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/7848e000-a024-47d4-8175-9a40fd423264/202103301218_IhE7_i.jpg,natal-rn,Marmita,5.0,15.0
beabd072-3131-4080-a3ea-d870801c39d5,Imperial Gourmet,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201801171252_beabd072-3131-4080-a3ea-d870801c39d5.png,natal-rn,Brasileira,6.0,41.9
add1b7be-34c3-4239-a2a6-026ebb1d22ee,Siciliana Fit Cozinha Saudável,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201905221256_add1b7be-34c3-4239-a2a6-026ebb1d22ee.png,natal-rn,Saudável,0.0,38.0
14e05396-3b2e-49d8-ac2f-abea3b37a64b,Pastéis e Hot Dogs Igual de Mãe,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/14e05396-3b2e-49d8-ac2f-abea3b37a64b/202105031913_wTuA_i.jpg,natal-rn,Pastel,0.0,30.0
7352eac6-a506-4f9e-8985-d97102dfdecb,Quero Pizza,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/7352eac6-a506-4f9e-8985-d97102dfdecb/202008162320_Br4P_i.jpg,natal-rn,Pizza,8.0,15.0
991dcc53-4972-4151-be2f-85278d7e44cc,Espetaria do Bezerra,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201904252202_991dcc53-4972-4151-be2f-85278d7e44cc.jpg,natal-rn,Carnes,10.49,10.0
1f95c1f0-23fa-441e-933c-5dada0c985a2,Gorilla's Marmitaria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/1f95c1f0-23fa-441e-933c-5dada0c985a2/202105191759_ZJ3r_i.png,natal-rn,Marmita,0.0,19.0
